Elapsed Time,"HP, LoadTest:Scenario, User Load, _Total","HP, LoadTest:Errors, Errors/Sec, _Total","HP, LoadTest:Errors, Threshold Violations/Sec, _Total"
00:00,,,
00:05,10,4.4,0
00:10,10,4.6,0
00:15,20,6,0
00:20,20,7.4,0
00:25,30,12.4,0
00:30,30,17.2,0
00:35,40,10,0
00:40,40,20.2,0
00:45,50,15.2,0
00:50,50,13.8,0
00:55,60,27.6,0
01:00,60,17.6,0
01:05,70,24.6,0
01:10,70,18.8,0
01:15,80,34.8,0
01:20,80,22.6,0
01:25,90,33.6,0
01:30,90,27,0
01:35,100,39.4,0
01:40,100,28,0
01:45,110,45.2,0
01:50,110,32,0
01:55,120,47.2,0
02:00,120,34.2,0
02:05,130,51,0
02:10,130,37.4,0
02:15,140,54.2,0
02:20,140,40.2,0
02:25,150,57.6,0
02:30,150,44.2,0
02:35,160,62.2,0
02:40,160,45.6,0
02:45,170,66.4,0
02:50,170,47.8,0
02:55,180,72.6,0
03:00,180,51.8,0
03:05,190,74.6,0
03:10,190,52.4,0
03:15,200,83.6,0
03:20,200,55.2,0
03:25,200,80.6,0
03:30,200,57.4,0
03:35,200,84.8,0
03:40,200,57.4,0
03:45,200,78,0
03:50,200,57.8,0
03:55,200,82,0
04:00,200,58.2,0
04:05,200,81.6,0
04:10,200,54.4,0
04:15,200,86.8,0
04:20,200,53.2,0
04:25,200,87.8,0
04:30,200,54,0
04:35,200,81.8,0
04:40,200,56.4,0
04:45,200,82.4,0
04:50,200,57.4,0
04:55,200,79.4,0
05:00,200,0,0
